timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.10792, 0.09366, 0.07794, 2.92775, -0.01881, -0.06849, -0.46940, -0.00066, -0.00066, -0.00205
  0.10898, 0.09371, 0.07782, 2.92681, -0.02244, -0.07039, -0.47191, -0.00068, -0.00067, -0.00210
  0.11005, 0.09378, 0.07770, 2.92588, -0.02365, -0.07695, -0.46166, -0.00069, -0.00068, -0.00215
  0.11112, 0.09384, 0.07759, 2.92496, -0.02015, -0.07394, -0.45141, -0.00070, -0.00070, -0.00219
  0.11220, 0.09389, 0.07750, 2.92407, -0.01439, -0.06625, -0.44626, -0.00071, -0.00071, -0.00224
  0.11327, 0.09392, 0.07739, 2.92321, -0.01578, -0.06108, -0.45389, -0.00073, -0.00072, -0.00229
  0.11434, 0.09395, 0.07730, 2.92237, -0.01243, -0.05600, -0.45895, -0.00074, -0.00074, -0.00233
  0.11541, 0.09397, 0.07720, 2.92155, -0.01621, -0.05336, -0.45889, -0.00075, -0.00075, -0.00238
  0.11649, 0.09401, 0.07709, 2.92074, -0.01993, -0.06020, -0.44606, -0.00076, -0.00076, -0.00243
  0.11756, 0.09407, 0.07697, 2.91993, -0.02358, -0.06925, -0.43581, -0.00078, -0.00078, -0.00248
  0.11863, 0.09414, 0.07685, 2.91913, -0.02715, -0.07576, -0.43578, -0.00079, -0.00079, -0.00253
  0.11970, 0.09421, 0.07673, 2.91835, -0.02594, -0.07744, -0.44087, -0.00080, -0.00081, -0.00258
  0.12077, 0.09430, 0.07661, 2.91757, -0.02711, -0.08853, -0.44086, -0.00081, -0.00082, -0.00263
  0.12185, 0.09443, 0.07649, 2.91679, -0.02592, -0.10413, -0.43578, -0.00083, -0.00084, -0.00268
  0.12292, 0.09457, 0.07635, 2.91601, -0.03416, -0.11233, -0.42559, -0.00084, -0.00085, -0.00274
  0.12399, 0.09471, 0.07623, 2.91527, -0.03049, -0.11329, -0.42307, -0.00085, -0.00086, -0.00279
  0.12506, 0.09485, 0.07610, 2.91457, -0.02690, -0.10951, -0.42311, -0.00087, -0.00088, -0.00284
  0.12613, 0.09497, 0.07599, 2.91391, -0.02337, -0.09635, -0.42569, -0.00088, -0.00089, -0.00289
  0.12720, 0.09507, 0.07588, 2.91329, -0.01990, -0.09526, -0.42827, -0.00089, -0.00091, -0.00295
  0.12827, 0.09519, 0.07578, 2.91268, -0.01886, -0.09655, -0.42318, -0.00091, -0.00092, -0.00300
  0.12934, 0.09529, 0.07569, 2.91209, -0.01316, -0.09308, -0.41555, -0.00092, -0.00094, -0.00306
  0.13041, 0.09540, 0.07560, 2.91152, -0.00992, -0.09441, -0.41814, -0.00093, -0.00095, -0.00311
  0.13149, 0.09550, 0.07552, 2.91097, -0.00908, -0.09338, -0.43095, -0.00095, -0.00097, -0.00317
  0.13263, 0.09559, 0.07543, 2.91044, -0.01296, -0.08766, -0.43352, -0.00096, -0.00098, -0.00323
  0.13370, 0.09568, 0.07534, 2.90993, -0.01206, -0.08440, -0.42843, -0.00097, -0.00100, -0.00328
  0.13479, 0.09577, 0.07527, 2.90943, -0.00179, -0.08591, -0.42080, -0.00099, -0.00102, -0.00334
  0.13586, 0.09587, 0.07521, 2.90892,  0.00121, -0.09210, -0.41063, -0.00100, -0.00103, -0.00340
  0.13693, 0.09599, 0.07514, 2.90842, -0.00053, -0.10053, -0.41325, -0.00101, -0.00105, -0.00346
  0.13800, 0.09612, 0.07508, 2.90792,  0.00246, -0.10647, -0.42099, -0.00103, -0.00106, -0.00352
  0.13907, 0.09625, 0.07504, 2.90743,  0.01011, -0.10995, -0.42620, -0.00104, -0.00108, -0.00358
  0.14016, 0.09636, 0.07500, 2.90696,  0.01291, -0.09923, -0.43649, -0.00105, -0.00110, -0.00364
  0.14123, 0.09644, 0.07496, 2.90651,  0.01332, -0.08403, -0.44932, -0.00107, -0.00111, -0.00370
  0.14241, 0.09650, 0.07491, 2.90609,  0.00901, -0.07385, -0.44933, -0.00108, -0.00113, -0.00376
  0.14348, 0.09655, 0.07485, 2.90567,  0.00713, -0.07329, -0.44424, -0.00109, -0.00114, -0.00382
  0.14455, 0.09661, 0.07481, 2.90527,  0.00762, -0.07035, -0.42892, -0.00111, -0.00116, -0.00388
  0.14562, 0.09665, 0.07476, 2.90487,  0.01043, -0.06507, -0.41616, -0.00112, -0.00118, -0.00395
  0.14669, 0.09671, 0.07474, 2.90448,  0.01790, -0.06934, -0.41363, -0.00113, -0.00119, -0.00401
  0.14776, 0.09676, 0.07471, 2.90409,  0.01580, -0.06878, -0.40344, -0.00115, -0.00121, -0.00408
  0.14883, 0.09681, 0.07465, 2.90372,  0.00198, -0.06586, -0.39834, -0.00116, -0.00123, -0.00414
  0.14990, 0.09685, 0.07458, 2.90337, -0.00686, -0.06065, -0.40088, -0.00117, -0.00125, -0.00420
  0.15097, 0.09688, 0.07451, 2.90303, -0.00615, -0.05317, -0.39318, -0.00119, -0.00126, -0.00427
  0.15205, 0.09690, 0.07444, 2.90270, -0.00310, -0.04820, -0.38804, -0.00120, -0.00128, -0.00434
  0.15313, 0.09691, 0.07438, 2.90237, -0.00011, -0.05041, -0.39568, -0.00121, -0.00130, -0.00440
  0.15419, 0.09694, 0.07433, 2.90205,  0.00519, -0.05260, -0.40844, -0.00123, -0.00132, -0.00447
  0.15526, 0.09696, 0.07426, 2.90174, -0.00368, -0.05716, -0.42886, -0.00124, -0.00133, -0.00454
  0.15633, 0.09701, 0.07417, 2.90139, -0.01003, -0.06873, -0.43395, -0.00125, -0.00135, -0.00460
  0.15740, 0.09707, 0.07410, 2.90101, -0.00453, -0.07533, -0.42118, -0.00127, -0.00137, -0.00467
  0.15847, 0.09713, 0.07405, 2.90062,  0.00319, -0.07471, -0.41098, -0.00128, -0.00139, -0.00474
  0.15953, 0.09717, 0.07401, 2.90023,  0.01313, -0.06466, -0.41355, -0.00129, -0.00140, -0.00481
  0.16060, 0.09720, 0.07398, 2.89985,  0.01583, -0.05717, -0.42122, -0.00131, -0.00142, -0.00488
  0.16167, 0.09721, 0.07396, 2.89947,  0.02083, -0.04983, -0.42377, -0.00132, -0.00144, -0.00495
  0.16274, 0.09722, 0.07395, 2.89909,  0.02574, -0.04497, -0.42632, -0.00134, -0.00146, -0.00502
  0.16383, 0.09723, 0.07395, 2.89871,  0.02819, -0.04966, -0.42633, -0.00135, -0.00148, -0.00509
  0.16489, 0.09725, 0.07394, 2.89833,  0.02824, -0.05187, -0.41868, -0.00136, -0.00149, -0.00516
  0.16596, 0.09726, 0.07394, 2.89795,  0.03300, -0.04932, -0.42381, -0.00137, -0.00151, -0.00523
  0.16702, 0.09726, 0.07394, 2.89759,  0.03063, -0.04212, -0.43913, -0.00139, -0.00153, -0.00531
