-0.001670;0.006850;3.015790;-0.002080;-0.000030;-0.441610
-0.001650;0.006860;3.015820;-0.002180;-0.000200;-0.433950
-0.001630;0.006880;3.015850;-0.001970;-0.000490;-0.423750
-0.001610;0.006900;3.015880;-0.001950;-0.000620;-0.423750
-0.001600;0.006920;3.015910;-0.001830;-0.000450;-0.431410
-0.001590;0.006940;3.015950;-0.001690;-0.000430;-0.433960
-0.001590;0.006950;3.015990;-0.001540;-0.000260;-0.433960
-0.001590;0.006960;3.016020;-0.001550;-0.000250;-0.436510
-0.001580;0.006980;3.016060;-0.001580;-0.000380;-0.446740
-0.001580;0.006990;3.016090;-0.001790;-0.000230;-0.459510
-0.001560;0.007000;3.016120;-0.001950;-0.000230;-0.464620
-0.001550;0.007020;3.016140;-0.002080;-0.000530;-0.462090
-0.001530;0.007050;3.016160;-0.002200;-0.000830;-0.462110
-0.001500;0.007080;3.016180;-0.002330;-0.000970;-0.459570
-0.001470;0.007110;3.016200;-0.002460;-0.001120;-0.457010
-0.001450;0.007150;3.016210;-0.002310;-0.001090;-0.459570
-0.001430;0.007180;3.016230;-0.002180;-0.001050;-0.467240
-0.001400;0.007210;3.016270;-0.002490;-0.000910;-0.467230
-0.001370;0.007240;3.016320;-0.002620;-0.000760;-0.464670
-0.001330;0.007260;3.016390;-0.002760;-0.000620;-0.462110
-0.001300;0.007280;3.016460;-0.002610;-0.000450;-0.464650
-0.001270;0.007290;3.016550;-0.002600;-0.000590;-0.467220
-0.001240;0.007320;3.016650;-0.002570;-0.000590;-0.464660
-0.001220;0.007330;3.016750;-0.002400;-0.000570;-0.462110
-0.001200;0.007350;3.016860;-0.002130;-0.000540;-0.472320
-0.001200;0.007380;3.016970;-0.001870;-0.000640;-0.485110
-0.001200;0.007410;3.017090;-0.001700;-0.000910;-0.485120
-0.001200;0.007430;3.017220;-0.001590;-0.000590;-0.487660
-0.001220;0.007440;3.017350;-0.001320;-0.000260;-0.490190
-0.001230;0.007460;3.017480;-0.001150;-0.000390;-0.482540
-0.001250;0.007470;3.017610;-0.001160;-0.000380;-0.479980
-0.001270;0.007490;3.017740;-0.001120;-0.000520;-0.467220
-0.001300;0.007510;3.017880;-0.000810;-0.000340;-0.456990
-0.001330;0.007520;3.018010;-0.000670;-0.000170;-0.451870
-0.001350;0.007530;3.018140;-0.000830;-0.000170;-0.449320
-0.001370;0.007540;3.018270;-0.000870;-0.000010;-0.454420
-0.001400;0.007530;3.018390;-0.000920;0.000290;-0.456950
-0.001430;0.007530;3.018520;-0.000640;0.000450;-0.456940
-0.001470;0.007510;3.018660;-0.000370;0.000760;-0.454370
-0.001510;0.007480;3.018790;-0.000440;0.001190;-0.459450
-0.001550;0.007440;3.018920;-0.000650;0.001320;-0.469660
-0.001580;0.007410;3.019040;-0.000820;0.001300;-0.472220
-0.001600;0.007380;3.019160;-0.000960;0.001130;-0.469670
-0.001630;0.007370;3.019270;-0.000940;0.000540;-0.472270
-0.001660;0.007370;3.019390;-0.000660;0.000140;-0.477400
